function_name,args,config,anon_exec,authed_exec,mentions_role
add_ingredient_stock,"p_ingredient_id uuid, p_quantity numeric",search_path=public,true,true,false
add_product_stock,"p_product_id uuid, p_quantity integer",search_path=public,true,true,false
add_product_stock_at_location,"p_product_id uuid, p_quantity integer, p_location_id uuid",search_path=public,true,true,false
adjust_customer_balance,"p_customer_id uuid, p_delta numeric",search_path=public,true,true,false
adjust_wms_inventory,"p_org_id uuid, p_wms_item_id bigint, p_adjustment integer, p_reason text",search_path=public,false,true,false
apply_wms_stock_count,p_session_id uuid,search_path=public,false,true,false
assert_no_active_freeze,"p_org_id uuid, p_wms_item_ids bigint[]",search_path=public,false,true,false
cancel_wms_transfer,"p_transfer_id bigint, p_actor text, p_idempotency_key uuid",search_path=public,false,true,false
check_location_limit,,search_path=public,true,true,false
claim_rpc_idempotency,"p_key uuid, p_org_id uuid, p_rpc_name text",search_path=public,false,true,false
create_wms_dispatch,"p_destination_type text, p_destination_location_id uuid, p_destination_name text, p_items jsonb, p_notes text, p_created_by text, p_idempotency_key uuid, p_source_location_id uuid",search_path=public,false,true,false
create_wms_dispatch_draft,"p_destination_type text, p_destination_location_id uuid, p_destination_name text, p_items jsonb, p_notes text, p_created_by text, p_idempotency_key uuid",search_path=public,false,true,false
create_wms_purchase_order,"p_supplier text, p_po_number text, p_expected_date date, p_notes text, p_lines jsonb, p_created_by text, p_idempotency_key uuid",search_path=public,false,true,false
create_wms_transfer,"p_source_location_id uuid, p_dest_location_id uuid, p_items jsonb, p_notes text, p_created_by text, p_idempotency_key uuid",search_path=public,false,true,false
current_user_org_ids,,search_path=public,true,true,false
current_user_writable_org_ids,,search_path=public,true,true,false
deduct_stock,"p_product_id uuid, p_quantity integer",search_path=public,true,true,false
deduct_stock_at_location,"p_product_id uuid, p_quantity integer, p_location_id uuid, p_source text",search_path=public,true,true,false
emit_stock_movement,"p_org_id uuid, p_wms_item_id bigint, p_location_id uuid, p_qty_delta integer, p_cost_per_unit numeric, p_movement_type text, p_ref_table text, p_ref_id bigint, p_notes text",search_path=public,false,true,false
end_till_session,p_token uuid,"search_path=public, extensions",false,true,false
ensure_wms_main_location,,search_path=public,false,true,false
ensure_wms_stock_count_session,,search_path=public,false,true,false
freeze_wms_count_session,p_session_id uuid,search_path=public,false,true,false
generate_inventory_id,p_org_id uuid,search_path=public,true,true,false
is_platform_admin,,search_path=public,true,true,false
log_sale_void,,search_path=public,true,true,false
match_location_pin,"p_location_id uuid, p_pin text","search_path=public, extensions",false,true,false
pack_wms_dispatch,"p_dispatch_id bigint, p_verifies jsonb, p_actor text, p_idempotency_key uuid",search_path=public,false,true,false
pick_wms_dispatch,"p_dispatch_id bigint, p_picks jsonb, p_actor text, p_idempotency_key uuid",search_path=public,false,true,false
recalc_recipe_cost,p_product_id uuid,search_path=public,true,true,false
receive_wms_purchase_order,"p_po_id bigint, p_po_item_ids bigint[], p_qtys integer[], p_recorded_by text, p_expiry_dates date[]",search_path=public,false,true,false
receive_wms_stock,"p_supplier text, p_notes text, p_recorded_by text, p_wms_item_ids integer[], p_packs integer[], p_pack_sizes integer[], p_unit_costs numeric[], p_damage_qtys integer[], p_tax_rates numeric[], p_tax_amounts numeric[], p_idempotency_key uuid, p_location_id uuid, p_expiry_dates date[]",search_path=public,false,true,false
receive_wms_transfer,"p_transfer_id bigint, p_actor text, p_idempotency_key uuid",search_path=public,false,true,false
record_sale_return,"p_original_sale_id uuid, p_quantity integer, p_reason text, p_credit_note_number text",search_path=public,true,true,false
record_wms_adjustment,"p_wms_item_id bigint, p_adjustment_qty integer, p_reason text, p_notes text, p_recorded_by text, p_cost_price numeric, p_idempotency_key uuid, p_location_id uuid, p_approver_user_id uuid",search_path=public,false,true,false
