table_name,rls_on,n_policies,cmds,writes_check_role,writes_use_writable_helper
admin_org_overrides,true,1,S,false,false
app_settings,true,4,DISU,false,true
audit_logs,true,1,S,false,false
balance_adjustments,true,4,DISU,false,true
categories,true,4,DISU,false,true
combo_items,true,3,DIS,false,false
combos,true,4,DISU,false,false
commission_payouts,true,2,ALLS,false,false
customer_payments,true,4,DISU,false,true
customers,true,4,DISU,false,true
daily_reconciliation,true,4,DISU,false,true
expense_categories,true,4,DISU,false,true
ingredients,true,4,DISU,false,true
invoice_events,true,1,S,false,false
location_settings,true,4,DISU,false,true
locations,true,4,DISU,false,true
partner_applications,true,1,ALL,false,false
partners,true,2,ALLS,false,false
payment_methods,true,4,DISU,false,true
platform_admins,true,1,ALL,false,false
product_location_prices,true,4,DISU,false,true
production_log,true,4,DISU,false,true
products,true,4,DISU,false,true
promotion_items,true,3,DIS,false,false
promotions,true,4,DISU,false,false
purchase_order_items,true,3,DIS,false,false
purchase_orders,true,4,DISU,false,false
purchases,true,4,DISU,false,true
ra_notes,true,4,DISU,false,true
recipes,true,4,DISU,false,true
referrals,true,2,ALLS,false,false
report_subscriptions,true,4,DISU,false,true
sales,true,4,DISU,false,true
shifts,true,4,DISU,false,true
stock_adjustments,true,4,DISU,false,true
stock_count_audit,true,4,DISU,false,true
stock_counts,true,6,ALLDISU,false,true
stock_movements,true,1,S,false,false
stock_oversells,true,1,S,false,false
stock_receipt_items,true,4,DISU,false,true
stock_receipts,true,4,DISU,false,true
stock_transfers,true,1,S,false,false
suppliers,true,4,DISU,false,true
till_pin_attempts,true,0,null,false,false
till_sessions,true,0,null,false,false
wms_adjustments,true,1,ALL,false,false
wms_catalog,true,1,ALL,false,false
wms_dispatch_items,true,1,ALL,false,false
wms_dispatches,true,1,ALL,false,false
wms_inventory,true,1,ALL,false,false
wms_locations,true,2,ALLS,false,true
wms_org_settings,true,2,ALLS,false,true
wms_po_items,true,1,ALL,false,false
wms_purchase_orders,true,1,ALL,false,false
wms_receipt_items,true,1,ALL,false,false
wms_receipts,true,1,ALL,false,false
wms_rpc_idempotency,true,0,null,false,false
wms_stock_count_audit,true,1,ALL,false,false
wms_stock_count_sessions,true,1,ALL,false,false
wms_stock_counts,true,1,ALL,false,false
wms_transfer_items,true,1,S,false,false
wms_transfers,true,1,S,false,false
zra_config,true,2,ALLS,false,true
zra_invoices,true,2,ALLS,false,true
expenses,true,4,DISU,true,true
org_members,true,3,DIS,true,false
organizations,true,2,SU,true,false
period_locks,true,2,ALLS,true,false
product_stock,true,4,DISU,true,true
