table_name,grantee,privs
admin_org_overrides,anon,"DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE"
admin_org_overrides,authenticated,"DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE"
app_settings,anon,"DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE"
app_settings,authenticated,"DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE"
audit_logs,anon,"DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE"
audit_logs,authenticated,"DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE"
balance_adjustments,anon,"DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE"
balance_adjustments,authenticated,"DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE"
categories,anon,"DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE"
categories,authenticated,"DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE"
combo_items,anon,"DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE"
combo_items,authenticated,"DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE"
combos,anon,"DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE"
combos,authenticated,"DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE"
commission_payouts,anon,"DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE"
commission_payouts,authenticated,"DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE"
customer_payments,anon,"DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE"
customer_payments,authenticated,"DELETE,INSERT,REFERENCES,SELECT,TRIGGER,TRUNCATE,UPDATE"
