table_name,column_name
admin_org_overrides,org_id
app_settings,org_id
audit_logs,org_id
balance_adjustments,location_id
balance_adjustments,org_id
categories,org_id
combos,org_id
customer_payments,location_id
customer_payments,org_id
customers,location_id
customers,org_id
daily_reconciliation,org_id
expense_categories,org_id
expenses,location_id
expenses,org_id
expenses,recorded_by_user_id
ingredients,org_id
invoice_events,org_id
location_settings,location_id
location_settings,org_id
locations,org_id
org_members,org_id
payment_methods,org_id
period_locks,org_id
product_location_prices,location_id
product_location_prices,org_id
product_stock,location_id
product_stock,org_id
production_log,org_id
products,org_id
promotions,org_id
purchase_orders,location_id
purchase_orders,org_id
purchases,org_id
ra_notes,org_id
recipes,org_id
referrals,org_id
report_subscriptions,org_id
sales,location_id
sales,org_id
shifts,location_id
shifts,org_id
stock_adjustments,location_id
stock_adjustments,org_id
stock_count_audit,location_id
stock_count_audit,org_id
stock_counts,location_id
stock_counts,org_id
stock_movements,location_id
stock_movements,org_id
stock_oversells,location_id
stock_oversells,org_id
stock_receipt_items,org_id
stock_receipts,location_id
stock_receipts,org_id
stock_transfers,org_id
suppliers,org_id
till_pin_attempts,org_id
till_sessions,location_id
till_sessions,org_id
wms_adjustments,org_id
wms_catalog,org_id
wms_cycle_count_due,org_id
wms_dispatch_items,org_id
wms_dispatches,org_id
wms_expiry_forecast,org_id
wms_inventory,location_id
wms_inventory,org_id
wms_inventory_by_item,org_id
wms_inventory_in_transit,org_id
wms_locations,org_id
wms_org_settings,org_id
wms_po_items,org_id
wms_purchase_orders,org_id
wms_receipt_items,org_id
wms_receipts,org_id
wms_rpc_idempotency,org_id
wms_stock_count_audit,org_id
wms_stock_count_sessions,org_id
wms_stock_counts,org_id
wms_transfer_items,org_id
wms_transfers,org_id
zra_config,org_id
zra_invoices,org_id
